"","gene","subclass_label","class_label","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","RNF219-AS1","Astrocyte","Non-neuronal",1.35224201106482e-154,9.18247932296786,1,0.362,6.79920805583504e-150
"2","BMPR1B","Astrocyte","Non-neuronal",2.49113603890937e-112,6.15882873099837,1,0.53,1.25256811172402e-107
"3","ADGRV1","Astrocyte","Non-neuronal",1.51131922324853e-99,7.15905490896903,1,0.699,7.59906418641592e-95
"4","ACSBG1","Astrocyte","Non-neuronal",3.24653205794738e-92,6.86710691197129,0.96,0.23,1.63238878405652e-87
"5","EYA2","Astrocyte","Non-neuronal",1.41236349666703e-89,5.48508643855705,0.98,0.489,7.10150489759151e-85
"6","LINC00499","Astrocyte","Non-neuronal",2.6294953873788e-87,9.05845865356138,0.88,0.167,1.32213657572793e-82
"7","SLC39A12","Astrocyte","Non-neuronal",1.04824695561612e-74,7.25019908427484,0.76,0.176,5.27069051753339e-70
"8","STON2","Astrocyte","Non-neuronal",4.17776592105455e-69,5.85572664575617,0.94,0.235,2.10062248276544e-64
"9","FGFR3","Astrocyte","Non-neuronal",7.26227732177977e-68,6.69590877859926,0.98,0.05,3.65154566016409e-63
"10","SLC25A18","Astrocyte","Non-neuronal",1.95118335388991e-67,6.37701021973071,0.96,0.125,9.81074502169386e-63
"11","GLI3","Astrocyte","Non-neuronal",2.52078732031769e-67,4.93684559296463,0.96,0.317,1.26747707252894e-62
"12","RGS20","Astrocyte","Non-neuronal",9.2844243569783e-65,6.39426786368152,0.9,0.327,4.66830141093226e-60
"13","LOC105376917","Astrocyte","Non-neuronal",3.15705861787975e-64,8.04466372058562,0.78,0.151,1.58740064365612e-59
"14","PAPLN","Astrocyte","Non-neuronal",7.70073981972489e-63,6.52984733892107,0.98,0.09,3.87200898875587e-58
"15","PRDM16","Astrocyte","Non-neuronal",9.1213281076499e-62,6.10130490443138,0.92,0.113,4.58629498580744e-57
"16","RANBP3L","Astrocyte","Non-neuronal",3.8948747730299e-61,5.43222999362447,0.98,0.153,1.95838198462716e-56
"17","ETNPPL","Astrocyte","Non-neuronal",1.66384102454641e-60,7.79482297677946,0.88,0.059,8.36595905552178e-56
"18","LAMA1","Astrocyte","Non-neuronal",2.52765179153187e-60,6.01175444843876,0.76,0.402,1.27092859730014e-55
"19","PRODH","Astrocyte","Non-neuronal",2.43128722420779e-59,5.65480707789963,0.98,0.123,1.22247552920392e-54
"20","NHSL1","Astrocyte","Non-neuronal",2.98024709471485e-56,3.93807311441984,1,0.496,1.49849804169357e-51
"21","LOC101927437","Astrocyte","Non-neuronal",4.48744509963732e-55,4.27122242145444,0.94,0.196,2.25633227054864e-50
"22","SLC1A2","Astrocyte","Non-neuronal",6.2604801910775e-55,5.53277446548884,1,0.656,3.14783204487568e-50
"23","MMD2","Astrocyte","Non-neuronal",1.26375379897667e-54,4.75886227519133,1,0.56,6.35428047663459e-50
"24","PAMR1","Astrocyte","Non-neuronal",6.09421257288102e-53,6.17051575942462,0.92,0.141,3.0642310237703e-48
"25","ATP13A4","Astrocyte","Non-neuronal",1.17614790503968e-52,4.9304791888889,1,0.319,5.91378928132999e-48
"26","SLCO1C1","Astrocyte","Non-neuronal",1.27147073994336e-52,5.5572472539879,0.92,0.103,6.39308202750919e-48
"27","HIF3A","Astrocyte","Non-neuronal",2.83058301266314e-52,4.59425675919168,0.96,0.325,1.42324544459715e-47
"28","GPC5","Astrocyte","Non-neuronal",1.92733729125623e-50,4.0693014139162,1,0.803,9.69084463416546e-46
"29","GLIS3","Astrocyte","Non-neuronal",6.94846791924126e-50,4.25097464568236,1,0.433,3.4937591544737e-45
"30","GRIN2C","Astrocyte","Non-neuronal",2.99783069833277e-49,6.53411039031186,0.82,0.052,1.5073392534287e-44
"31","SLC4A4","Astrocyte","Non-neuronal",1.44630655779363e-48,4.80369861360826,1,0.537,7.27217400324213e-44
"32","LINC00982","Astrocyte","Non-neuronal",2.64327150259097e-48,7.76015377590833,0.72,0.007,1.32906334421777e-43
"33","COL5A3","Astrocyte","Non-neuronal",1.20800851984791e-47,4.88676130240461,0.98,0.316,6.07398763864727e-43
"34","ACOT11","Astrocyte","Non-neuronal",4.07026996453765e-45,4.81590238565599,0.98,0.348,2.04657244086918e-40
"35","F3","Astrocyte","Non-neuronal",5.12733426142016e-45,5.30026134535355,0.82,0.036,2.57807493998467e-40
"36","ARHGEF26","Astrocyte","Non-neuronal",7.22683316463898e-45,5.02213191706212,0.9,0.266,3.63372398351213e-40
"37","ZNRF3","Astrocyte","Non-neuronal",1.58016713397506e-44,4.04865741210999,1,0.808,7.94523836634e-40
"38","SLC14A1","Astrocyte","Non-neuronal",2.29094590008138e-44,6.48569513934648,0.74,0.023,1.15191050801992e-39
"39","NDRG2","Astrocyte","Non-neuronal",7.99811749994977e-44,4.5971199687199,0.94,0.202,4.02153346014974e-39
"40","MT3","Astrocyte","Non-neuronal",1.23117216244663e-43,3.92634431864415,0.94,0.526,6.19045674999788e-39
"41","F11-AS1","Astrocyte","Non-neuronal",2.17234720406744e-43,5.20044325851915,0.8,0.208,1.09227789767715e-38
"42","GJA1","Astrocyte","Non-neuronal",2.58400403334743e-43,6.85408024212425,0.72,0.089,1.29926306800742e-38
"43","PSD2","Astrocyte","Non-neuronal",3.84598827992561e-43,4.41815516578478,0.96,0.438,1.9338013670294e-38
"44","NWD1","Astrocyte","Non-neuronal",8.30503272805153e-43,5.318834460637,0.8,0.451,4.17585350599159e-38
"45","PARD3B","Astrocyte","Non-neuronal",1.41855052659843e-42,3.03273179622665,1,0.757,7.13261390278958e-38
"46","ARHGAP24","Astrocyte","Non-neuronal",2.12625813879723e-41,3.03948481946115,0.98,0.766,1.06910385476863e-36
"47","SLC1A3","Astrocyte","Non-neuronal",4.35815200097387e-41,3.75922758290874,1,0.275,2.19132240760967e-36
"48","AQP4","Astrocyte","Non-neuronal",1.15733906729058e-40,7.07918080961338,0.78,0.104,5.81921656424376e-36
"49","ACSS1","Astrocyte","Non-neuronal",2.16903458820166e-40,5.08952315941418,0.84,0.119,1.09061228129368e-35
"50","NCAN","Astrocyte","Non-neuronal",2.65898090206167e-40,4.39664463184719,0.92,0.466,1.33696218736563e-35
"51","AMZ2","Astrocyte","Non-neuronal",3.25513198755091e-40,4.15556772552396,1,0.601,1.63671291466047e-35
"52","NBPF26","Astrocyte","Non-neuronal",3.36933995281974e-40,3.94375209179162,0.86,0.263,1.69413782167729e-35
"53","EZR","Astrocyte","Non-neuronal",1.03427164039757e-39,4.64632239643488,0.78,0.102,5.200421235083e-35
"54","PLIN5","Astrocyte","Non-neuronal",1.18241830467581e-39,6.12130017808379,0.58,0.179,5.94531747774044e-35
"55","KCNN3","Astrocyte","Non-neuronal",1.44705777691008e-39,4.89100906280688,0.92,0.321,7.27595120808158e-35
"56","LOC645321","Astrocyte","Non-neuronal",1.45419051741985e-38,5.56901758636766,0.68,0.015,7.31181534063877e-34
"57","SFXN5","Astrocyte","Non-neuronal",3.86393558852755e-38,3.90509055743794,1,0.663,1.94282545326754e-33
"58","ID4","Astrocyte","Non-neuronal",5.68811537339798e-38,6.41091943250546,0.76,0.043,2.86004129089824e-33
"59","LOC101929608","Astrocyte","Non-neuronal",7.22472642015136e-38,7.34482205525815,0.62,0.121,3.6326646913163e-33
"60","C1orf61","Astrocyte","Non-neuronal",1.44467610276184e-37,3.73378535352996,1,0.69,7.26397591229682e-33
"61","PHF21B","Astrocyte","Non-neuronal",1.58556554731136e-37,4.55648615099869,0.88,0.325,7.97238212843626e-33
"62","PHYHD1","Astrocyte","Non-neuronal",2.75844042507603e-37,5.26877058740568,0.72,0.174,1.38697143013248e-32
"63","ACACB","Astrocyte","Non-neuronal",5.26897399932645e-37,3.31304916550812,0.92,0.434,2.64929281660133e-32
"64","TTYH1","Astrocyte","Non-neuronal",3.02128941008345e-36,4.29820953381954,0.94,0.413,1.51913452828406e-31
"65","PPAP2B","Astrocyte","Non-neuronal",3.05061793771e-36,3.94340731529035,0.94,0.215,1.53388120525997e-31
"66","EMX2","Astrocyte","Non-neuronal",3.37807134705651e-36,4.63808140188653,0.7,0.025,1.69852805401349e-31
"67","LOC101926964","Astrocyte","Non-neuronal",5.32963642926159e-36,4.46138789762253,0.76,0.292,2.67979449299702e-31
"68","MRVI1","Astrocyte","Non-neuronal",6.43113405798537e-36,4.48370839259229,0.86,0.198,3.23363851569562e-31
"69","EMX2OS","Astrocyte","Non-neuronal",8.05718229686183e-36,4.68287794953416,0.74,0.075,4.0512318306851e-31
"70","NKAIN3","Astrocyte","Non-neuronal",1.49746879227155e-35,3.78954610506187,1,0.719,7.52942283442059e-31
"71","OAF","Astrocyte","Non-neuronal",1.54078800611495e-35,4.84510490607644,0.78,0.065,7.7472361735466e-31
"72","LOC105376387","Astrocyte","Non-neuronal",3.52746114051943e-35,4.13081425996543,0.86,0.361,1.77364273606458e-30
"73","ALDH1L1","Astrocyte","Non-neuronal",4.79716371625697e-35,4.95083364776889,0.76,0.09,2.41206188817117e-30
"74","TCF7L2","Astrocyte","Non-neuronal",6.07824493006852e-35,3.36024255250721,0.98,0.573,3.05620233328775e-30
"75","MSI2","Astrocyte","Non-neuronal",8.26315648787442e-35,3.42693562959603,1,0.874,4.15479771366814e-30
"76","CLDN10","Astrocyte","Non-neuronal",9.00828440599422e-35,4.8638102448882,0.7,0.291,4.52945548217796e-30
"77","GFAP","Astrocyte","Non-neuronal",1.37936244637211e-34,7.30411644172888,0.68,0.058,6.93557231660359e-30
"78","SLC7A11","Astrocyte","Non-neuronal",1.62009404254465e-34,3.23001867315202,0.9,0.185,8.14599485531877e-30
"79","EDNRB","Astrocyte","Non-neuronal",2.25165134286542e-34,5.86176975640319,0.62,0.163,1.13215281170616e-29
"80","GLUL","Astrocyte","Non-neuronal",3.87959653581205e-34,3.86405007779832,0.96,0.321,1.95069993417166e-29
"81","FAM189A2","Astrocyte","Non-neuronal",4.0297543957477e-34,5.16447322550056,0.78,0.121,2.0262008077259e-29
"82","HPSE2","Astrocyte","Non-neuronal",2.41336850893209e-33,4.46028299738305,0.9,0.789,1.21346581997614e-28
"83","CST3","Astrocyte","Non-neuronal",8.79654739930639e-33,3.17228591519907,0.98,0.311,4.42299199784525e-28
"84","ARHGEF26-AS1","Astrocyte","Non-neuronal",1.11401184792862e-32,4.32680979847566,0.9,0.197,5.60136297256989e-28
"85","FGFR2","Astrocyte","Non-neuronal",2.05667830154878e-32,2.87774084585606,0.96,0.34,1.03411841680174e-27
"86","PYGM","Astrocyte","Non-neuronal",3.05969485927718e-32,4.42848160668682,0.66,0.051,1.53844517219316e-27
"87","PREX2","Astrocyte","Non-neuronal",8.44463143891757e-32,3.22815294749158,1,0.374,4.24604513380214e-27
"88","KANK1","Astrocyte","Non-neuronal",9.85444506497126e-32,2.53090240894065,1,0.664,4.9549135231182e-27
"89","SPON1","Astrocyte","Non-neuronal",1.0440641241485e-31,3.78829831830953,0.94,0.592,5.24965882263108e-27
"90","MYO10","Astrocyte","Non-neuronal",2.19742840826915e-31,2.89290477569357,0.98,0.848,1.10488897796181e-26
"91","SDC4","Astrocyte","Non-neuronal",2.29014848275127e-31,5.87855773932064,0.58,0.042,1.15150955861216e-26
